country_name,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Cameroon,0.0,26.07,28.11,31.17,31.93,29.83,30.91,34.65,36.33,36.04,39.28,39.99,41.89,42.86,46.91,46.85,44.06,44.85,44.29,45.37,46.52,47.52,49.42,48.8,49.27,52.42,56.86,48.79,51.86,52.75,54.8,56.26,56.11,59.35,62.83,67.53,71.74,67.78,72.47,75.81,77.83,78.6,80.62,83.33,85.97,103.59,110.44,117.22,121.06,131.47,145.29,149.22,158.82,162.37,163.67,172.49,186.04,0.0,0.0
"Congo, Dem. Rep.",0.0,61.45,62.15,62.71,62.76,62.92,63.72,66.21,70.21,71.82,74.32,74.96,76.6,78.45,80.38,82.51,83.7,84.29,81.49,85.6,89.51,90.81,95.97,98.54,101.26,104.79,107.17,109.72,112.99,116.32,122.12,126.78,129.83,130.46,133.81,109.42,108.42,105.19,107.23,104.56,102.46,100.05,98.08,98.77,99.47,100.04,100.49,101.53,102.33,103.17,104.33,109.16,110.34,108.9,109.46,109.51,108.77,0.0,0.0
"Congo, Rep.",0.0,42.45,43.66,44.33,46.21,48.4,49.64,54.4,53.96,53.06,52.58,53.74,51.25,53.12,51.06,52.51,53.39,54.87,52.99,54.25,55.76,58.12,61.45,60.14,62.97,65.76,63.61,65.12,67.56,66.24,65.82,63.0,64.14,65.24,70.17,76.93,80.11,80.16,78.11,84.32,86.31,88.09,89.46,91.15,95.71,100.25,104.04,107.31,112.57,116.76,114.56,116.07,120.77,123.28,123.44,124.03,126.11,0.0,0.0
Colombia,0.0,31.77,34.77,32.73,34.9,35.27,36.68,37.61,40.03,40.1,41.49,42.35,44.27,46.83,50.05,54.72,55.71,58.2,63.06,64.16,65.43,66.7,63.19,63.56,65.76,63.56,66.63,67.43,70.44,74.17,78.88,80.56,84.25,80.49,79.88,83.13,82.52,83.46,80.76,87.61,88.24,89.36,92.25,97.61,100.21,99.18,100.61,104.43,102.55,99.78,95.53,96.41,101.9,108.15,110.35,116.94,114.6,0.0,0.0
Comoros,0.0,42.51,42.13,47.15,47.16,47.7,48.34,49.06,49.32,51.94,50.0,51.39,49.99,49.27,53.17,53.0,52.37,55.91,56.03,57.67,59.25,54.86,60.08,61.7,57.82,61.0,64.7,70.26,72.78,72.84,79.96,82.07,83.99,87.39,87.21,87.79,90.51,89.52,93.85,95.19,96.06,97.99,97.68,99.38,100.24,95.62,104.14,107.92,108.08,106.45,105.27,104.5,99.78,104.77,104.99,107.97,108.73,0.0,0.0
Cabo Verde,0.0,46.69,51.18,53.16,57.32,63.2,65.42,65.7,45.92,46.62,37.96,32.18,30.84,29.49,30.44,31.23,37.34,36.68,40.66,44.73,63.42,38.77,37.2,33.71,46.94,40.5,51.78,87.29,80.92,80.45,70.46,57.61,54.13,54.72,49.99,51.12,60.19,56.61,59.51,85.37,112.51,109.47,100.21,104.26,102.89,97.81,99.3,109.68,101.07,100.27,97.18,111.35,115.85,121.75,108.39,108.86,108.65,0.0,0.0
Costa Rica,0.0,16.38,17.55,18.16,18.29,20.05,22.23,23.19,26.46,29.54,31.85,34.74,34.86,37.48,34.71,37.08,36.54,37.4,39.32,39.38,39.11,40.29,38.96,41.68,43.42,40.69,42.8,44.08,46.76,57.01,62.1,63.66,69.23,69.56,70.88,74.39,79.93,81.2,86.51,88.94,89.45,90.01,85.44,89.56,91.85,96.64,111.51,106.81,103.0,103.66,109.69,115.64,122.66,124.8,129.95,124.98,130.32,0.0,0.0
Caribbean small states,0.0,88.75743719300283,88.93109917113021,91.19360002757806,95.13953915802325,100.35819806222509,100.25925058610724,100.17149770224623,95.86032172526137,94.60396743271009,95.84061151774051,98.27715533708933,95.06199166940354,88.17848199288431,93.64374543470147,90.5101517049262,92.40939441750548,94.70361868487831,100.13545907509052,94.83669998068126,95.1388658469206,95.35837500897368,94.07985267536766,88.2186963096742,93.50875890831207,93.12861536305715,96.50941271758569,93.7195667992703,96.07571298424158,90.91296340273887,91.34225866991524,95.25833871592447,102.78016740484557,105.5774048545249,106.87917279936617,114.03921642142863,117.87872656532858,114.40723265336504,104.87224207191571,108.84551071207007,103.14996875070571,104.17955198984531,101.22203066516043,102.70567221528746,102.38095321240256,93.75465560780312,101.10000556339413,101.05068619051548,94.5635224567032,99.57965892323581,100.31440489933281,102.66969166978197,104.64680587183913,108.6719282100452,108.02261098645567,0.0,0.0,0.0,0.0
Cuba,0.0,87.18,64.83,57.31,62.87,78.98,64.04,80.92,74.03,69.51,117.77,83.7,75.36,81.67,90.31,87.63,90.52,99.5,113.42,122.72,106.73,114.31,120.97,115.18,128.0,118.27,119.2,120.83,128.98,134.96,134.51,130.94,116.4,79.2,78.38,71.6,87.37,84.35,77.21,94.42,112.12,110.94,116.67,116.35,123.08,96.79,80.14,85.85,86.49,89.39,76.95,81.34,86.81,90.59,87.82,92.12,93.1,0.0,0.0
Curacao,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
